# p_id, survived, cabin_class, female, fare
222,0,3,0,8.050
223,0,3,0,7.896
224,1,1,0,90.000
225,0,3,0,9.350
226,1,2,0,10.500
227,0,3,0,7.250
228,0,2,0,13.000
229,0,3,1,25.467
230,1,1,1,83.475
231,0,3,0,7.775
232,0,2,0,13.500
233,1,3,1,31.388
234,0,2,0,10.500
235,0,3,1,7.550
236,0,2,0,26.000
237,1,2,1,26.250
238,0,2,0,10.500
239,0,2,0,12.275
240,0,3,1,14.454
241,1,3,1,15.500
242,0,2,0,10.500
243,0,3,0,7.125
244,0,3,0,7.225
245,0,1,0,90.000
246,0,3,1,7.775
247,1,2,1,14.500
248,1,1,0,52.554
249,0,2,0,26.000
250,0,3,0,7.250
251,0,3,1,10.462
252,0,1,0,26.550
253,0,3,0,16.100
254,0,3,1,20.212
255,1,3,1,15.246
256,1,1,1,79.200
257,1,1,1,86.500
258,1,1,1,512.329
259,1,2,1,26.000
260,0,3,0,7.750
261,1,3,0,31.388
262,0,1,0,79.650
263,0,1,0,0.000
264,0,3,1,7.750
265,0,2,0,10.500
266,0,3,0,39.688
267,1,3,0,7.775
268,1,1,1,153.462
269,1,1,1,135.633
270,0,1,0,31.000
271,1,3,0,0.000
272,1,2,1,19.500
273,0,1,0,29.700
274,1,3,1,7.750
275,1,1,1,77.958
276,0,3,1,7.750
277,0,2,0,0.000
278,0,3,0,29.125
279,1,3,1,20.250
280,0,3,0,7.750
281,0,3,0,7.854
282,0,3,0,9.500
283,1,3,0,8.050
284,0,1,0,26.000
285,0,3,0,8.663
286,1,3,0,9.500
287,0,3,0,7.896
288,1,2,0,13.000
289,1,3,1,7.750
290,1,1,1,78.850
291,1,1,1,91.079
292,0,2,0,12.875
293,0,3,1,8.850
294,0,3,0,7.896
295,0,1,0,27.721
296,0,3,0,7.229
297,0,1,1,151.550
298,1,1,0,30.500
299,1,1,1,247.521
300,1,3,1,7.750
301,1,3,0,23.250
302,0,3,0,0.000
303,1,2,1,12.350
304,0,3,0,8.050
305,1,1,0,151.550
306,1,1,1,110.883
307,1,1,1,108.900
308,0,2,0,24.000
309,1,1,1,56.929
310,1,1,1,83.158
311,1,1,1,262.375
312,0,2,1,26.000
313,0,3,0,7.896
314,0,2,0,26.250
315,1,3,1,7.854
316,1,2,1,26.000
317,0,2,0,14.000
318,1,1,1,164.867
319,1,1,1,134.500
320,0,3,0,7.250
321,0,3,0,7.896
322,1,2,1,12.350
323,1,2,1,29.000
324,0,3,0,69.550
325,1,1,1,135.633
326,0,3,0,6.238
327,1,2,1,13.000
328,1,3,1,20.525
329,1,1,1,57.979
330,1,3,1,23.250
331,0,1,0,28.500
332,0,1,0,153.462
333,0,3,0,18.000
334,1,1,1,133.650
335,0,3,0,7.896
336,0,1,0,66.600
337,1,1,1,134.500
338,1,3,0,8.050
339,0,1,0,35.500
340,1,2,0,26.000
341,1,1,1,263.000
342,0,2,0,13.000
343,0,2,0,13.000
344,0,2,0,13.000
345,1,2,1,13.000
346,1,2,1,13.000
347,1,3,1,16.100
348,1,3,0,15.900
349,0,3,0,8.663
350,0,3,0,9.225
351,0,1,0,35.000
352,0,3,0,7.229
353,0,3,0,17.800
354,0,3,0,7.225
355,0,3,0,9.500
356,1,1,1,55.000
357,0,2,1,13.000
358,1,3,1,7.879
359,1,3,1,7.879
360,0,3,0,27.900
361,0,2,0,27.721
362,0,3,1,14.454
363,0,3,0,7.050
364,0,3,0,15.500
365,0,3,0,7.250
366,1,1,1,75.250
367,1,3,1,7.229
368,1,3,1,7.750
369,1,1,1,69.300
370,1,1,0,55.442
371,0,3,0,6.496
372,0,3,0,8.050
373,0,1,0,135.633
374,0,3,1,21.075
375,1,1,1,82.171
376,1,3,1,7.250
377,0,1,0,211.500
378,0,3,0,4.012
379,0,3,0,7.775
380,1,1,1,227.525
381,1,3,1,15.742
382,0,3,0,7.925
383,1,1,1,52.000
384,0,3,0,7.896
385,0,2,0,73.500
386,0,3,0,46.900
387,1,2,1,13.000
388,0,3,0,7.729
389,1,2,1,12.000
390,1,1,0,120.000
391,1,3,0,7.796
392,0,3,0,7.925
393,1,1,1,113.275
394,1,3,1,16.700
395,0,3,0,7.796
396,0,3,1,7.854
397,0,2,0,26.000
398,0,2,0,10.500
399,1,2,1,12.650
400,1,3,0,7.925
401,0,3,0,8.050
402,0,3,1,9.825
403,0,3,0,15.850
404,0,3,1,8.663
405,0,2,0,21.000
406,0,3,0,7.750
407,1,2,0,18.750
408,0,3,0,7.775
409,0,3,1,25.467
410,0,3,0,7.896
411,0,3,0,6.858
412,1,1,1,90.000
413,0,2,0,0.000
414,1,3,0,7.925
415,0,3,1,8.050
416,1,2,1,32.500
417,1,2,1,13.000
418,0,2,0,13.000
419,0,3,1,24.150
420,0,3,0,7.896
421,0,3,0,7.733
422,0,3,0,7.875
423,0,3,1,14.400
424,0,3,0,20.212
425,0,3,0,7.250
426,1,2,1,26.000
427,1,2,1,26.000
428,0,3,0,7.750
429,1,3,0,8.050
430,1,1,0,26.550
431,1,3,1,16.100
432,1,2,1,26.000
433,0,3,0,7.125
434,0,1,0,55.900
435,1,1,1,120.000
436,0,3,1,34.375
437,1,2,1,18.750
438,0,1,0,263.000
439,0,2,0,10.500
440,1,2,1,26.250
441,0,3,0,9.500
442,0,3,0,7.775
443,1,2,1,13.000
444,1,3,0,8.113
445,1,1,0,81.858
446,1,2,1,19.500
447,1,1,0,26.550
448,1,3,1,19.258
449,1,1,0,30.500
450,0,2,0,27.750
451,0,3,0,19.967
452,0,1,0,27.750
453,1,1,0,89.104
454,0,3,0,8.050
455,1,3,0,7.896
456,0,1,0,26.550
457,1,1,1,51.862
458,1,2,1,10.500
459,0,3,0,7.750
460,1,1,0,26.550
461,0,3,0,8.050
462,0,1,0,38.500
463,0,2,0,13.000
464,0,3,0,8.050
465,0,3,0,7.050
466,0,2,0,0.000
467,0,1,0,26.550
468,0,3,0,7.725
469,1,3,1,19.258
470,0,3,0,7.250
471,0,3,0,8.663
472,1,2,1,27.750
473,1,2,1,13.792
474,0,3,1,9.837
475,0,1,0,52.000
476,0,2,0,21.000
477,0,3,0,7.046
478,0,3,0,7.521
479,1,3,1,12.288
480,0,3,0,46.900
481,0,2,0,0.000
482,0,3,0,8.050
483,1,3,1,9.587
484,1,1,0,91.079
485,0,3,1,25.467
486,1,1,1,90.000
487,0,1,0,29.700
488,0,3,0,8.050
489,1,3,0,15.900
490,0,3,0,19.967
491,0,3,0,7.250
492,0,1,0,30.500
493,0,1,0,49.504
494,0,3,0,8.050
495,0,3,0,14.458
496,1,1,1,78.267
497,0,3,0,15.100
498,0,1,1,151.550
499,0,3,0,7.796
500,0,3,0,8.663
501,0,3,1,7.750
502,0,3,1,7.629
503,0,3,1,9.587
504,1,1,1,86.500
505,0,1,0,108.900
506,1,2,1,26.000
507,1,1,0,26.550
508,0,3,0,22.525
509,1,3,0,56.496
510,1,3,0,7.750
511,0,3,0,8.050
512,1,1,0,26.288
513,1,1,1,59.400
514,0,3,0,7.496
515,0,1,0,34.021
516,1,2,1,10.500
517,0,3,0,24.150
518,1,2,1,26.000
519,0,3,0,7.896
520,1,1,1,93.500
521,0,3,0,7.896
522,0,3,0,7.225
523,1,1,1,57.979
524,0,3,0,7.229
525,0,3,0,7.750
526,1,2,1,10.500
527,0,1,0,221.779
528,0,3,0,7.925
529,0,2,0,11.500
530,1,2,1,26.000
531,0,3,0,7.229
532,0,3,0,7.229
533,1,3,1,22.358
534,0,3,1,8.663
535,1,2,1,26.250
536,0,1,0,26.550
537,1,1,1,106.425
538,0,3,0,14.500
539,1,1,1,49.500
540,1,1,1,71.000
541,0,3,1,31.275
542,0,3,1,31.275
543,1,2,0,26.000
544,0,1,0,106.425
545,0,1,0,26.000
546,1,2,1,26.000
547,1,2,0,13.863
548,0,3,0,20.525
549,1,2,0,36.750
550,1,1,0,110.883
551,0,2,0,26.000
552,0,3,0,7.829
553,1,3,0,7.225
554,1,3,1,7.775
555,0,1,0,26.550
556,1,1,1,39.600
557,0,1,0,227.525
558,1,1,1,79.650
559,1,3,1,17.400
560,0,3,0,7.750
561,0,3,0,7.896
562,0,2,0,13.500
563,0,3,0,8.050
564,0,3,1,8.050
565,0,3,0,24.150
566,0,3,0,7.896
567,0,3,1,21.075
568,0,3,0,7.229
569,1,3,0,7.854
570,1,2,0,10.500
571,1,1,1,51.479
572,1,1,0,26.388
573,1,3,1,7.750
574,0,3,0,8.050
575,0,3,0,14.500
576,1,2,1,13.000
577,1,1,1,55.900
578,0,3,1,14.458
579,1,3,0,7.925
580,1,2,1,30.000
581,1,1,1,110.883
582,0,2,0,26.000
583,0,1,0,40.125
584,0,3,0,8.712
585,1,1,1,79.650
586,0,2,0,15.000
587,1,1,0,79.200
588,0,3,0,8.050
589,0,3,0,8.050
590,0,3,0,7.125
591,1,1,1,78.267
592,0,3,0,7.250
593,0,3,1,7.750
594,0,2,0,26.000
595,0,3,0,24.150
596,1,2,1,33.000
597,0,3,0,0.000
598,0,3,0,7.225
599,1,1,0,56.929
600,1,2,1,27.000
601,0,3,0,7.896
602,0,1,0,42.400
603,0,3,0,8.050
604,1,1,0,26.550
605,0,3,0,15.550
606,0,3,0,7.896
607,1,1,0,30.500
608,1,2,1,41.579
609,1,1,1,153.462
610,0,3,1,31.275
611,0,3,0,7.050
612,1,3,1,15.500
613,0,3,0,7.750
614,0,3,0,8.050
615,1,2,1,65.000
616,0,3,0,14.400
617,0,3,1,16.100
618,1,2,1,39.000
619,0,2,0,10.500
620,0,3,0,14.454
621,1,1,0,52.554
622,1,3,0,15.742
623,0,3,0,7.854
624,0,3,0,16.100
625,0,1,0,32.321
626,0,2,0,12.350
627,1,1,1,77.958
628,0,3,0,7.896
629,0,3,0,7.733
630,1,1,0,30.000
631,0,3,0,7.054
632,1,1,0,30.500
633,0,1,0,0.000
634,0,3,1,27.900
635,1,2,1,13.000
636,0,3,0,7.925
637,0,2,0,26.250
638,0,3,1,39.688
639,0,3,0,16.100
640,0,3,0,7.854
641,1,1,1,69.300
642,0,3,1,27.900
643,1,3,0,56.496
644,1,3,1,19.258
645,1,1,0,76.729
646,0,3,0,7.896
647,1,1,0,35.500
648,0,3,0,7.550
649,1,3,1,7.550
650,0,3,0,7.896
651,1,2,1,23.000
652,0,3,0,8.433
653,1,3,1,7.829
654,0,3,1,6.750
655,0,2,0,73.500
656,0,3,0,7.896
657,0,3,1,15.500
658,0,2,0,13.000
659,0,1,0,113.275
660,1,1,0,133.650
661,0,3,0,7.225
662,0,1,0,25.587
663,0,3,0,7.496
664,1,3,0,7.925
665,0,2,0,73.500
666,0,2,0,13.000
667,0,3,0,7.775
668,0,3,0,8.050
669,1,1,1,52.000
670,1,2,1,39.000
671,0,1,0,52.000
672,0,2,0,10.500
673,1,2,0,13.000
674,0,2,0,0.000
675,0,3,0,7.775
676,0,3,0,8.050
677,1,3,1,9.842
678,0,3,1,46.900
679,1,1,0,512.329
680,0,3,1,8.137
681,1,1,0,76.729
682,0,3,0,9.225
683,0,3,0,46.900
684,0,2,0,39.000
685,0,2,0,41.579
686,0,3,0,39.688
687,0,3,0,10.171
688,0,3,0,7.796
689,1,1,1,211.337
690,1,1,0,57.000
691,1,3,1,13.417
692,1,3,0,56.496
693,0,3,0,7.225
694,0,1,0,26.550
695,0,2,0,13.500
696,0,3,0,8.050
697,1,3,1,7.733
698,0,1,0,110.883
699,0,3,0,7.650
700,1,1,1,227.525
701,1,1,0,26.288
702,0,3,1,14.454
703,0,3,0,7.742
704,0,3,0,7.854
705,0,2,0,26.000
706,1,2,1,13.500
707,1,1,0,26.288
708,1,1,1,151.550
709,1,3,0,15.246
710,1,1,1,49.504
711,0,1,0,26.550
712,1,1,0,52.000
713,0,3,0,9.483
714,0,2,0,13.000
715,0,3,0,7.650
716,1,1,1,227.525
717,1,2,1,10.500
718,0,3,0,15.500
719,0,3,0,7.775
720,1,2,1,33.000
721,0,3,0,7.054
722,0,2,0,13.000
723,0,2,0,13.000
724,1,1,0,53.100
725,0,3,0,8.663
726,1,2,1,21.000
727,1,3,1,7.738
728,0,2,0,26.000
729,0,3,1,7.925
730,1,1,1,211.337
731,0,3,0,18.788
732,0,2,0,0.000
733,0,2,0,13.000
734,0,2,0,13.000
735,0,3,0,16.100
736,0,3,1,34.375
737,1,1,0,512.329
738,0,3,0,7.896
739,0,3,0,7.896
740,1,1,0,30.000
741,0,1,0,78.850
742,1,1,1,262.375
743,0,3,0,16.100
744,1,3,0,7.925
745,0,1,0,71.000
746,0,3,0,20.250
747,1,2,1,13.000
748,0,1,0,53.100
749,0,3,0,7.750
750,1,2,1,23.000
751,1,3,0,12.475
752,0,3,0,9.500
753,0,3,0,7.896
754,1,2,1,65.000
755,1,2,0,14.500
756,0,3,0,7.796
757,0,2,0,11.500
758,0,3,0,8.050
759,1,1,1,86.500
760,0,3,0,14.500
761,0,3,0,7.125
762,1,3,0,7.229
763,1,1,1,120.000
764,0,3,0,7.775
765,1,1,1,77.958
766,0,1,0,39.600
767,0,3,1,7.750
768,0,3,0,24.150
769,0,3,0,8.363
770,0,3,0,9.500
771,0,3,0,7.854
772,0,2,1,10.500
773,0,3,0,7.225
774,1,2,1,23.000
775,0,3,0,7.750
776,0,3,0,7.750
777,1,3,1,12.475
778,0,3,0,7.738
779,1,1,1,211.337
780,1,3,1,7.229
781,1,1,1,57.000
782,0,1,0,30.000
783,0,3,0,23.450
784,0,3,0,7.050
785,0,3,0,7.250
786,1,3,1,7.496
787,0,3,0,29.125
788,1,3,0,20.575
789,0,1,0,79.200
790,0,3,0,7.750
791,0,2,0,26.000
792,0,3,1,69.550
793,0,1,0,30.696
794,0,3,0,7.896
795,0,2,0,13.000
796,1,1,1,25.929
797,1,3,1,8.683
798,0,3,0,7.229
799,0,3,1,24.150
800,0,2,0,13.000
801,1,2,1,26.250
802,1,1,0,120.000
803,1,3,0,8.517
804,1,3,0,6.975
805,0,3,0,7.775
806,0,1,0,0.000
807,0,3,1,7.775
808,0,2,0,13.000
809,1,1,1,53.100
810,0,3,0,7.887
811,0,3,0,24.150
812,0,2,0,10.500
813,0,3,1,31.275
814,0,3,0,8.050
815,0,1,0,0.000
816,0,3,1,7.925
817,0,2,0,37.004
818,0,3,0,6.450
819,0,3,0,27.900
820,1,1,1,93.500
821,1,3,0,8.663
822,0,1,0,0.000
823,1,3,1,12.475
824,0,3,0,39.688
825,0,3,0,6.950
826,0,3,0,56.496
827,1,2,0,37.004
828,1,3,0,7.750
829,1,1,1,80.000
830,1,3,1,14.454
831,1,2,0,18.750
832,0,3,0,7.229
833,0,3,0,7.854
834,0,3,0,8.300
835,1,1,1,83.158
836,0,3,0,8.663
837,0,3,0,8.050
838,1,3,0,56.496
839,1,1,0,29.700
840,0,3,0,7.925
841,0,2,0,10.500
842,1,1,1,31.000
843,0,3,0,6.438
844,0,3,0,8.663
845,0,3,0,7.550
846,0,3,0,69.550
847,0,3,0,7.896
848,0,2,0,33.000
849,1,1,1,89.104
850,0,3,0,31.275
851,0,3,0,7.775
852,0,3,1,15.246
853,1,1,1,39.400
854,0,2,1,26.000
855,1,3,1,9.350
856,1,1,1,164.867
857,1,1,0,26.550
858,1,3,1,19.258
859,0,3,0,7.229
860,0,3,0,14.108
861,0,2,0,11.500
862,1,1,1,25.929
863,0,3,1,69.550
864,0,2,0,13.000
865,1,2,1,13.000
866,1,2,1,13.858
867,0,1,0,50.496
868,0,3,0,9.500
869,1,3,0,11.133
870,0,3,0,7.896
871,1,1,1,52.554
872,0,1,0,5.000
873,0,3,0,9.000
874,1,2,1,24.000
875,1,3,1,7.225
876,0,3,0,9.846
877,0,3,0,7.896
878,0,3,0,7.896
879,1,1,1,83.158
880,1,2,1,26.000
881,0,3,0,7.896
882,0,3,1,10.517
883,0,2,0,10.500
884,0,3,0,7.050
885,0,3,1,29.125
886,0,2,0,13.000
887,1,1,1,30.000
888,0,3,1,23.450
889,1,1,0,30.000
890,0,3,0,7.750
